"PlantID_final","Easting","Northing","Altitude"
"M1660",-71.6960007050075,-237.066496290267,1293.88
"M1662",-945.024863142986,486.906783389859,1425.76
"M1663",44.1013720239862,-11.6753753200173,1319.48
"M1666",-148.063450073998,-280.400360439904,1278.3
"M1667",43.225134992972,-13.3571499297395,1320.2
"M1668",-942.863423024013,491.438288469799,1430.38
"M1669",-949.705508053012,488.932733699679,1428.86
"M1670",-150.311452692025,-278.995550580323,1279.32
"M1672",-942.025705109001,483.824363050051,1425.09
"M1675",-1067.93044668401,533.455881609581,1426.4
"M1678",-1166.62476301298,565.878798830323,1433.26
"M1679",-1207.40279687499,416.558582359925,1437.95
"M1680",-945.471901749028,488.529700250365,1429.88
"M1681",-947.470926736016,487.265725369565,1427.98
"M1683",-1199.67511630402,573.382836460136,1433.07
"M1684",-1177.01631863398,569.471516829915,1433.33
"M1686",-950.24450030498,487.963641770184,1428.85
"M1687",-674.328497626993,390.942737150006,1414.17
"M1688",-937.388432495005,483.353596690111,1426.02
"M1689",-1107.12701007398,549.560280869715,1427.25
"M1690",-1207.551954808,571.310941739939,1434.53
"M1691",-1001.09388450498,506.396624529734,1424.39
"M1692",-947.619596338016,490.942009200342,1424.79
"M1693",-1186.661128662,570.052103029564,1431.97
"M1694",-1107.26775271498,547.518508370034,1428.99
"M1695",-1168.11358680099,564.034018689767,1431.69
"M1698",-1204.90087029798,418.990735939704,1437.81
"M1699",-1183.32148274599,572.205169069581,1433.57
"M1700",-940.250037609017,463.901322060265,1418.4
"M1701",-925.95187521202,472.900179119781,1420.17
"M1702",-921.068660881021,472.352316020057,1422.29
"M1703",315.121939954988,-383.520839559846,1127.54
"M1706",-675.491661119973,389.188678770326,1418.24
"M1707",314.981951605994,-380.745309250429,1128.67
"M1708",318.876717621984,-384.735240349546,1132.59
"M1709",-872.580261067022,447.809238529764,1419.84
"M1710",-921.437096556998,473.645658610389,1424.76
"M1713",-870.78472207702,448.416943330318,1419.81
"M1714",-921.960755773005,474.033428410068,1423.43
"M1715",-680.39005556202,388.96695872955,1415.38
"M1716",314.38314839598,-381.708295100369,1128.6
