iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
2340		2.466	-3263.75	-22.914	-3240.835	0.114	0.75	30.464	0.613
2350		2.477	-3263.16	-23.326	-3239.834	0.161	0.741	28.836	0.601
2360		2.487	-3266.956	-22.324	-3244.632	0.22	0.693	33.508	0.654
2370		2.498	-3264.538	-22.605	-3241.933	0.166	0.729	32.568	0.628
2380		2.508	-3263.823	-22.565	-3241.258	0.116	0.784	32.065	0.626
2390		2.519	-3262.794	-24.157	-3238.637	0.127	0.799	32.141	0.567
2400		2.529	-3264.548	-23.515	-3241.033	0.177	0.8	28.951	0.598
2410		2.539	-3262.953	-23.914	-3239.039	0.169	0.793	29.975	0.581
2420		2.55	-3263.256	-24.376	-3238.88	0.144	0.795	24.0	0.565
2430		2.56	-3262.076	-24.529	-3237.547	0.15	0.761	22.769	0.561
2440		2.571	-3261.901	-26.077	-3235.824	0.134	0.765	20.67	0.51
2450		2.581	-3260.212	-27.002	-3233.21	0.129	0.804	18.615	0.485
2460		2.592	-3260.212	-27.002	-3233.21	0.129	0.804	18.615	0.485
2470		2.602	-3260.212	-27.002	-3233.21	0.129	0.804	18.615	0.485
2480		2.613	-3260.212	-27.002	-3233.21	0.129	0.804	18.615	0.485
2490		2.623	-3260.212	-27.002	-3233.21	0.129	0.804	18.615	0.485
2500		2.634	-3260.854	-27.684	-3233.17	0.114	0.794	14.916	0.47
2510		2.644	-3262.564	-31.339	-3231.225	0.078	0.811	7.488	0.395
2520		2.655	-3262.229	-30.695	-3231.534	0.073	0.797	8.679	0.409
2530		2.665	-3264.333	-30.279	-3234.054	0.117	0.772	7.658	0.415
2540		2.676	-3263.224	-30.494	-3232.73	0.074	0.785	8.882	0.413
2550		2.686	-3261.281	-28.681	-3232.6	0.087	0.803	12.893	0.449
2560		2.697	-3261.281	-28.681	-3232.6	0.087	0.803	12.893	0.449
2570		2.707	-3260.906	-28.368	-3232.538	0.112	0.808	13.189	0.453
2580		2.718	-3260.906	-28.368	-3232.538	0.112	0.808	13.189	0.453
2590		2.729	-3260.906	-28.368	-3232.538	0.112	0.808	13.189	0.453
2600		2.739	-3261.124	-27.782	-3233.342	0.134	0.809	14.004	0.468
2610		2.75	-3260.807	-28.648	-3232.158	0.124	0.821	12.26	0.447
2620		2.76	-3260.512	-27.85	-3232.662	0.128	0.792	15.896	0.463
2630		2.771	-3260.512	-27.85	-3232.662	0.128	0.792	15.896	0.463
2640		2.781	-3260.512	-27.85	-3232.662	0.128	0.792	15.896	0.463
2650		2.792	-3261.583	-26.513	-3235.07	0.138	0.771	17.305	0.501
2660		2.802	-3260.907	-27.544	-3233.362	0.102	0.783	16.49	0.472
2670		2.813	-3260.907	-27.544	-3233.362	0.102	0.783	16.49	0.472
2680		2.823	-3260.41	-27.267	-3233.143	0.135	0.8	16.371	0.48
2690		2.834	-3260.615	-27.229	-3233.385	0.113	0.806	16.108	0.481
2700		2.844	-3260.673	-27.956	-3232.717	0.102	0.813	14.645	0.464
2710		2.854	-3263.133	-28.513	-3234.62	0.096	0.828	11.391	0.454
2720		2.865	-3260.774	-27.615	-3233.159	0.166	0.801	14.773	0.475
2730		2.875	-3261.777	-27.932	-3233.845	0.155	0.769	14.052	0.465
2740		2.886	-3261.695	-28.393	-3233.302	0.175	0.8	12.058	0.458
2750		2.896	-3260.845	-29.685	-3231.16	0.214	0.803	12.38	0.431
2760		2.907	-3262.074	-29.54	-3232.535	0.219	0.781	10.642	0.438
2770		2.917	-3262.074	-29.54	-3232.535	0.219	0.781	10.642	0.438
2780		2.928	-3262.843	-29.703	-3233.141	0.213	0.762	10.665	0.433
2790		2.938	-3263.602	-27.945	-3235.657	0.172	0.744	15.549	0.464
2800		2.949	-3261.681	-25.937	-3235.744	0.19	0.751	19.531	0.523
2810		2.959	-3262.819	-25.963	-3236.856	0.212	0.732	18.68	0.529
2820		2.97	-3264.083	-26.611	-3237.472	0.143	0.726	14.805	0.501
2830		2.98	-3263.51	-26.732	-3236.778	0.107	0.728	15.523	0.496
2840		2.991	-3264.566	-28.279	-3236.288	0.085	0.736	13.586	0.458
2850		3.001	-3265.492	-28.386	-3237.106	0.109	0.797	16.034	0.449
2860		3.012	-3261.41	-27.637	-3233.773	0.104	0.799	14.166	0.473
2870		3.022	-3262.159	-28.048	-3234.111	0.134	0.797	12.269	0.463
2880		3.033	-3262.563	-30.234	-3232.329	0.146	0.788	10.015	0.411
2890		3.043	-3261.38	-29.193	-3232.187	0.177	0.781	12.267	0.436
2900		3.054	-3261.38	-29.193	-3232.187	0.177	0.781	12.267	0.436
2910		3.064	-3261.38	-29.193	-3232.187	0.177	0.781	12.267	0.436
2920		3.075	-3260.561	-28.426	-3232.135	0.161	0.818	12.859	0.454
2930		3.085	-3264.669	-28.637	-3236.033	0.13	0.833	11.898	0.448
2940		3.096	-3264.669	-28.637	-3236.033	0.13	0.833	11.898	0.448
2950		3.107	-3264.653	-30.484	-3234.17	0.127	0.831	9.636	0.406
2960		3.117	-3262.319	-29.844	-3232.474	0.065	0.795	11.69	0.427
2970		3.127	-3262.729	-28.769	-3233.96	0.071	0.799	11.447	0.453
2980		3.138	-3262.39	-31.269	-3231.122	0.107	0.805	7.481	0.392
2990		3.148	-3266.767	-30.188	-3236.579	0.121	0.8	6.978	0.419
3000		3.159	-3266.767	-30.188	-3236.579	0.121	0.8	6.978	0.419
