iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
2180		2.207	-3255.999	-13.81	-3242.189	0.283	0.702	42.604	0.639
2190		2.217	-3256.695	-14.058	-3242.637	0.264	0.748	39.333	0.624
2200		2.227	-3255.031	-14.185	-3240.846	0.225	0.785	35.565	0.615
2210		2.237	-3253.683	-15.124	-3238.559	0.24	0.793	32.089	0.58
2220		2.247	-3253.361	-15.458	-3237.903	0.254	0.781	30.847	0.579
2230		2.258	-3255.156	-15.465	-3239.691	0.3	0.765	32.89	0.604
2240		2.268	-3253.851	-15.121	-3238.73	0.225	0.768	30.882	0.582
2250		2.278	-3254.016	-16.903	-3237.113	0.281	0.772	25.052	0.559
2260		2.288	-3253.901	-17.35	-3236.55	0.356	0.782	28.949	0.557
2270		2.298	-3253.901	-17.35	-3236.55	0.356	0.782	28.949	0.557
2280		2.308	-3255.697	-18.701	-3236.996	0.373	0.73	23.478	0.545
2290		2.318	-3255.697	-18.701	-3236.996	0.373	0.73	23.478	0.545
2300		2.328	-3254.306	-18.829	-3235.477	0.374	0.774	23.891	0.529
2310		2.338	-3253.332	-18.971	-3234.361	0.319	0.788	21.492	0.488
2320		2.348	-3252.271	-18.349	-3233.922	0.285	0.781	21.48	0.501
2330		2.358	-3252.271	-18.349	-3233.922	0.285	0.781	21.48	0.501
2340		2.368	-3254.97	-19.118	-3235.852	0.313	0.815	20.345	0.491
2350		2.378	-3253.062	-19.452	-3233.609	0.288	0.778	17.803	0.486
2360		2.389	-3252.95	-18.362	-3234.588	0.279	0.788	20.098	0.518
2370		2.399	-3254.429	-18.21	-3236.219	0.286	0.747	20.73	0.525
2380		2.409	-3252.756	-19.688	-3233.068	0.295	0.8	17.2	0.488
2390		2.419	-3252.232	-18.036	-3234.196	0.261	0.792	21.356	0.506
2400		2.429	-3252.232	-18.036	-3234.196	0.261	0.792	21.356	0.506
2410		2.439	-3252.435	-18.495	-3233.94	0.3	0.798	21.058	0.513
2420		2.449	-3251.677	-18.3	-3233.377	0.258	0.8	20.524	0.497
2430		2.459	-3252.323	-18.165	-3234.158	0.261	0.793	20.654	0.508
2440		2.469	-3253.161	-17.597	-3235.564	0.282	0.819	23.164	0.532
2450		2.479	-3255.381	-17.725	-3237.656	0.298	0.806	24.562	0.517
2460		2.489	-3254.648	-18.779	-3235.869	0.371	0.766	23.233	0.54
2470		2.499	-3254.764	-19.144	-3235.619	0.389	0.771	23.106	0.538
2480		2.51	-3254.978	-19.297	-3235.682	0.402	0.762	23.732	0.534
2490		2.52	-3256.61	-17.682	-3238.928	0.327	0.752	26.983	0.517
2500		2.53	-3254.393	-17.001	-3237.392	0.307	0.767	26.086	0.564
2510		2.54	-3254.741	-15.27	-3239.472	0.296	0.771	35.439	0.587
2520		2.55	-3258.04	-16.78	-3241.26	0.337	0.754	33.188	0.528
2530		2.56	-3257.718	-16.382	-3241.336	0.377	0.734	34.826	0.605
2540		2.57	-3258.074	-14.89	-3243.185	0.387	0.705	43.932	0.681
2550		2.58	-3256.479	-15.366	-3241.113	0.383	0.739	43.024	0.628
