"id","flower_colour","rosea","sulfurea"
"M0157","WO","R/r","s/s"
"M0159","Ye","r/r","s/s"
"M0160","Ye","r/r","s/s"
"M0161","Ye","r/r","s/s"
"M0162","Ye","r/r","s/s"
"M0166",NA,NA,NA
"M0169","Ye","r/r","s/s"
"M0175","Ye","r/r","s/s"
"M0177","Ye","r/r","s/s"
"M0179","FR","R/R","S/+"
"M0181","Ye","r/r","s/s"
"M0182","Ye","r/r","s/s"
"M0184","WO","R/r","s/s"
"M0185","Ye","r/r","s/s"
"M0188","WO","R/r","s/s"
"M0198","Ye","r/r","s/s"
"M0202","Wh","r/r","S/+"
"M0205","WO","R/r","s/s"
"M0206","WO","R/r","s/s"
"M0208","Ye","r/r","s/s"
"M0209","FO","R/R","s/s"
"K0129","WR","R/r","S/+"
"M0213","Ye","r/r","s/s"
"M0215","Ye","r/r","s/s"
"M0217","Ye","r/r","s/s"
"M0219","Ye","r/r","s/s"
"M0223","WR","R/r","S/+"
"M0224","FR","R/R","S/+"
"M0226","WO","R/r","s/s"
"M0228","WR","R/r","S/+"
"M0229","Wh","r/r","S/+"
"M0232","WO","R/r","s/s"
"M0235","FO","R/R","s/s"
"M0236","WR","R/r","S/+"
"M0238","Ye","r/r","s/s"
"M0239","Wh","r/r","S/+"
"M0240","WR","R/r","S/+"
"M0241","FR","R/R","S/+"
"M0243","WO","R/r","s/s"
"M0245","WR","R/r","S/+"
"M0247","FR","R/R","S/+"
"M0249","Wh","r/r","S/+"
"M0251","WR","R/r","S/+"
"M0252","FR","R/R","S/+"
"M0253","FR","R/R","S/+"
"M0254","FR","R/R","S/+"
"M0255","FO","R/R","s/s"
"M0256","WR","R/r","S/+"
"M0257","FR","R/R","S/+"
"M0258","Ye","r/r","s/s"
"M0259","FR","R/R","S/+"
"M0260","Ye","r/r","s/s"
"M0261","FR","R/R","S/+"
"M0262","FR","R/R","S/+"
"M0263","FR","R/R","S/+"
"M0264","FR","R/R","S/+"
"M0265","FR","R/R","S/+"
"M0266","FR","R/R","S/+"
"M0267","FO","R/R","s/s"
"M0268","FR","R/R","S/+"
"M0269","FR","R/R","S/+"
"M0270","FO","R/R","s/s"
"M0271","FR","R/R","S/+"
"M0272","FR","R/R","S/+"
"M0273","FR","R/R","S/+"
"M0277","FR","R/R","S/+"
"M0278","FR","R/R","S/+"
"M0279","WR","R/r","S/+"
"M0281","WR","R/r","S/+"
"M0282","FR","R/R","S/+"
"M0283","FR","R/R","S/+"
"M0284","FO","R/R","s/s"
"M0286","WR","R/r","S/+"
"M0287","FR","R/R","S/+"
"M0290","FR","R/R","S/+"
"M0291","FR","R/R","S/+"
"M0292","FR","R/R","S/+"
"M0293","FR","R/R","S/+"
"M0295","FR","R/R","S/+"
"M0296","FR","R/R","S/+"
"M0297","FR","R/R","S/+"
"M0299","FR","R/R","S/+"
"M0306","Wh","r/r","S/+"
"M0310","FR","R/R","S/+"
"M0312","WR","R/r","S/+"
"M0317","Ye","r/r","s/s"
"J1284","WR","R/r","S/+"
"M0319","WR","R/r","S/+"
"M0320","FR","R/R","S/+"
"M0323","WO","R/r","s/s"
"M0329","Ye","r/r","s/s"
"M0331","Wh","r/r","S/+"
"M0332","Ye","r/r","s/s"
"M0333","FO","R/R","s/s"
"M0334","Wh","r/r","S/+"
"M0336","FR","R/R","S/+"
"K0632","Wh","r/r","S/+"
"M0344","WR","R/r","S/+"
"M0346","Wh","r/r","S/+"
"M0347","FR","R/R","S/+"
"M0351","WO","R/r","s/s"
"M0352","WR","R/r","S/+"
"M0354","WR","R/r","S/+"
"M0358","FR","R/R","S/+"
"M0360","Ye","r/r","s/s"
"M0361","Ye","r/r","s/s"
"M0363","Ye","r/r","s/s"
"M0364","WO","R/r","s/s"
"M0367","Ye","r/r","s/s"
"M0369","FR","R/R","S/+"
"M0372","Ye","r/r","s/s"
